"date","daily_cases"
2025-07-08,5
2025-07-10,6
2025-07-11,16
2025-07-12,18
2025-07-13,244
2025-07-14,191
2025-07-15,99
2025-07-16,80
2025-07-17,180
2025-07-18,359
2025-07-19,674
2025-07-20,411
2025-07-21,370
2025-07-22,538
2025-07-23,453
2025-07-24,373
2025-07-25,350
2025-07-26,387
2025-07-27,402
2025-07-28,448
2025-07-29,496
2025-07-30,446
2025-07-31,387
2025-08-01,333
2025-08-02,258
2025-08-03,215
2025-08-04,194
2025-08-05,174
2025-08-06,175
2025-08-07,167
2025-08-08,148
2025-08-09,142
